1400 BLOCK N 16TH ST	7/2/2009 8:43:00 PM	19121
3600 BLOCK CHAMOUNIX DR	7/1/2009 6:15:00 AM	19131
YORK & GARNET ST	8/31/2007 1:08:00 AM	19132
1600 BLOCK S 23RD ST	8/29/2007 2:35:00 PM	19145
1200 BLOCK N 16TH ST	8/29/2007 2:16:00 PM	19121
1400 BLOCK CONLYN ST	8/29/2007 10:28:00 AM	19141
500 BLOCK E HILL CREEK DR	8/29/2007 7:45:00 AM	19120
N 44TH ST  &  HAVERFORD AV	8/27/2007 11:18:00 PM	19139
9400 BLOCK LANSFORD ST	8/27/2007 9:48:00 PM	19114
4200 BLOCK HENRY AV	8/27/2007 2:12:00 AM	19144
2900 BLOCK N 13TH ST	8/26/2007 9:16:00 PM	19132
2000 BLOCK E HUNTINGDON ST	8/26/2007 1:10:00 PM	19125
2400 BLOCK S 62ND ST	8/26/2007 1:12:00 AM	19142
1600 BLOCK W MENTOR ST	8/25/2007 10:27:00 PM	19141
2500 BLOCK N NEWKIRK ST	8/25/2007 2:20:00 AM	19132
N 18TH ST &  W HUNTING PARK AV	8/24/2007 2:15:00 PM	19140
2400 BLOCK KIMBALL ST	8/23/2007 10:04:00 PM	19146
1 BLOCK S 58TH ST	8/20/2007 4:17:00 AM	19139
EMERALD ST  &  E LEHIGH AV	8/18/2007 9:17:00 PM	19125
1000 BLOCK MASTER ST	8/18/2007 8:34:00 PM	19122
1600 BLOCK St PAUL ST	8/17/2007 11:04:00 PM	19140
3000 BLOCK W LEHIGH AVE	8/17/2007 3:19:00 AM	19132
800 BLOCK E WILLARD ST	8/17/2007 12:26:00 AM	19134
1900 BLOCK S SALFORD ST	8/16/2007 11:28:00 PM	19143
6900 BLOCK LINDBERGH BLVD	8/16/2007 4:18:00 PM	19142
200 BLOCK S ALDEN ST	8/16/2007 12:27:00 AM	19139
2600 BLOCK W JEFFERSON ST	8/15/2007 6:09:00 PM	19121
1600 BLOCK E HUNTING PARK AV	8/15/2007 5:21:00 PM	19124
