"AREAKEY","INTPTLAT","INTPTLON","AREALAND","AREAWATR","AREALANM","AREAWATM","STUSAB","REGION","DIVISION","STATECE","STATE","COUNTY","COUNTYSC","COUSUB","COUSUBCC","COUSUBSC","PLACE","PLACECC","PLACEDC","PLACESC","TRACT","BLKGRP","BLOCK","CONCIT","CONCITCC","CONCITSC","AIANHHCE","AIANHH","AIANHHCC","AIHHTLI","AITSCE","AITS","AITSCC","ANRC","ANRCCC","MSACMSA","MASC","CMSA","MACCI","PMSA","NECMA","NECMACCI","NECMASC","EXI","UA","UASC","UATYPE","UR","CD106","CD108","CD109","CD110","SLDU","SLDL","VTD","VTDI","ZCTA3","ZCTA5","SUBMCD","SUBMCDCC","FUNCSTAT","GCUNI","LSADC","SDELM","SDSEC","SDUNI","TAZ","UGA","PUMA5","PUMA1","MACC","UACP","P001001","P002001","P003001","P004001","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P006001","P006002","P006003","P006004","P006005","P006006","P006007","P006008","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017"
"42091204500","40.000562","-75.249974","2752567","0","1.06","0.00","PA","1","2","23","42","091","20","","","","","","0","","204500","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4880","706","4880","14.5","4880","4880","4880","0","0","0","0","4880","4553","60","0","231","0","0","36","1669","36","38","15","23","44","30","43","56","52","140","186","218","182","117","177","312"
"42091204600","40.014812","-75.250424","4819574","0","1.86","0.00","PA","1","2","23","42","091","20","","","","","","0","","204600","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4756","723","4756","15.2","4756","4756","4756","0","0","0","0","4756","4564","35","0","67","15","8","67","1592","49","44","18","27","32","9","61","21","32","54","95","133","165","102","225","525"
"42091204701","40.033578","-75.249602","3162271","79520","1.22","0.03","PA","1","2","23","42","091","20","","","","","","0","","204701","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2244","341","2260","15.1","2244","2244","2244","0","0","0","0","2244","2114","43","0","72","0","0","15","1123","47","34","14","34","15","44","49","22","59","101","134","159","99","57","82","173"
"42091204702","40.022684","-75.236073","2724704","0","1.05","0.00","PA","1","2","23","42","091","20","","","","","","0","","204702","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3366","562","3350","16.8","3366","3366","3366","0","0","0","0","3366","3080","114","5","140","0","0","27","1262","32","18","48","49","28","42","62","36","58","106","130","159","177","72","74","171"
"42091204800","40.049243","-75.289416","15780528","292307","6.09","0.11","PA","1","2","23","42","091","20","","","","","","0","","204800","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","5399","792","5399","14.7","5399","5399","5399","0","0","0","0","5399","5192","30","7","133","0","11","26","1942","51","38","19","26","46","28","41","42","25","94","60","103","122","124","230","893"
"42091204900","40.041210","-75.328149","10281165","7437","3.97","0.00","PA","1","2","23","42","091","20","","","","","","0","","204900","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","5047","755","5047","15.0","5047","5047","5047","0","0","0","0","5047","4818","98","0","64","0","5","62","1712","61","20","5","7","25","19","34","23","54","52","112","148","165","103","171","713"
"42091205000","40.028310","-75.315787","1274788","0","0.49","0.00","PA","1","2","23","42","091","20","","","","","","0","","205000","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","1839","268","1764","15.2","1839","1839","1839","0","0","0","0","1839","1497","296","0","9","0","24","13","794","117","36","23","39","45","21","21","27","18","79","65","97","48","42","42","74"
"42091205100","40.021061","-75.312705","1890726","0","0.73","0.00","PA","1","2","23","42","091","20","","","","","","0","","205100","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3075","354","3190","11.1","3075","3075","3075","0","0","0","0","3075","2399","187","0","271","20","8","190","796","113","38","52","18","59","33","23","18","4","95","37","102","20","31","20","133"
"42091205200","40.019711","-75.299201","3260467","9098","1.26","0.00","PA","1","2","23","42","091","20","","","","","","0","","205200","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2933","435","2933","14.8","2933","2933","2933","0","0","0","0","2933","2753","52","0","37","0","40","51","1285","46","19","8","44","35","48","24","14","23","84","134","163","109","79","100","355"
"42091205300","40.009711","-75.298220","669475","5782","0.26","0.00","PA","1","2","23","42","091","20","","","","","","0","","205300","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2896","394","2856","13.8","2896","2896","2896","0","0","0","0","2896","1990","704","0","121","0","45","36","811","80","59","31","44","18","57","31","52","58","91","100","92","47","18","16","17"
"42091205400","40.005212","-75.274408","4793358","0","1.85","0.00","PA","1","2","23","42","091","20","","","","","","0","","205400","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","6057","725","6057","12.0","6057","6057","6057","0","0","0","0","6057","5671","140","0","221","0","0","25","2680","123","79","37","175","87","62","132","79","73","95","235","345","188","147","293","530"
